SHOTS TIMES IMP TDIV TDIV_ERR NDIV NDIV_ERR QPAR QPAR_ERR PSEP PSEP_ERR PDIV PDIV_ERR TSEP NSEP NSEP_ERR FM FM_ERR CNE CNE_ERR CN CN_ERR CAR CAR_ERR CNEF CNEF_ERR CNF CNF_ERR CARF CARF_ERR SHUNT SHUNT_ERR SHUNT1 SHUNT1_ERR LINT PSEPRT PSEPRT_ERR HFAC HFAC_ERR
39638 4.70000 2.00000 2.78677 1.19668 3.62742e+19 1.16508e+19 7.82956e+06 4.24076e+06 7.56497 0.407521 2.03268 0.0130442 115.755 3.30177e+19 9.90532e+18 0.0528982 0.0325037 0.00000 0.00000 0.00000 0.00000 0.00120593 0.000332530 0.00000 0.00000 0.00000 0.00000 0.00154823 0.000533791 4.99684 2.47437 5.13598 2.04902 3.85014 5.82589 0.582589 0.899946 0.0275908
39639 4.60000 2.00000 3.80082 1.86058 3.54428e+19 1.38444e+19 1.09400e+07 1.01547e+07 7.22033 0.282813 1.97416 0.0134562 113.578 3.27201e+19 9.81602e+18 0.0724984 0.0503438 0.00000 0.00000 0.00000 0.00000 0.00226815 0.000626268 0.00000 0.00000 0.00000 0.00000 0.00226897 0.000875915 5.11743 2.91791 6.24983 2.47594 3.87977 8.37599 0.837599 1.02815 0.0410340
40249 4.70000 3.00000 7.25768 0.703392 5.74981e+19 1.43037e+19 1.12460e+07 2.55550e+06 8.91840 0.309994 1.56782 0.0234808 123.228 3.04640e+19 9.13921e+18 0.222322 0.0892835 0.00000 0.00000 0.0176592 0.00511264 0.00179977 0.000493521 0.00000 0.00000 0.0484363 0.000417635 0.00184981 1.58884e-05 11.0018 1.79865 14.0794 2.17827 3.79351 5.85159 0.585159 1.09794 0.0344830
40250 4.50000 3.00000 7.27521 0.769563 7.32546e+19 1.12918e+19 1.51103e+07 2.11069e+06 11.2536 0.447556 2.34500 0.0856901 134.061 3.45136e+19 1.03541e+19 0.230366 0.0814303 0.00000 0.00000 0.0189107 0.00577448 0.00158305 0.000432418 0.00000 0.00000 0.0364493 0.000334455 0.00134316 1.18297e-05 9.74810 2.66488 11.4437 3.31645 3.67885 8.37044 0.837044 1.02313 0.0271625
40250 6.40000 3.00000 6.30177 0.440246 7.51334e+19 1.11683e+19 1.22202e+07 1.54802e+06 10.4664 0.497004 2.12821 0.119073 130.609 3.34912e+19 1.00474e+19 0.216482 0.0740406 0.00000 0.00000 0.0222644 0.00632542 0.00154766 0.000422431 0.00000 0.00000 0.0505733 0.000280151 0.00134814 1.03114e-05 9.25142 2.07666 27.6609 2.76609 3.71611 9.49535 0.949535 1.10599 0.0312212
40251 7.50000 3.00000 3.55744 1.06573 7.60250e+19 1.68921e+19 5.18635e+06 846294. 6.19760 0.280013 1.95251 0.0123331 107.663 3.26084e+19 9.78253e+18 0.154074 0.0737490 0.00000 0.00000 0.00751100 0.00227464 0.00153073 0.000421630 0.00000 0.00000 0.0179165 0.000146677 0.00118912 6.79095e-06 0.749929 1.32613 3.09131 1.75613 4.01022 5.23763 0.523763 0.994110 NaN
40251 6.50000 3.00000 6.07532 0.487632 6.39546e+19 1.04421e+19 1.03132e+07 1.84036e+06 8.87689 0.298545 2.03011 0.0187261 123.027 3.30048e+19 9.90143e+18 0.191379 0.0671467 0.00000 0.00000 0.0103139 0.00322145 0.00185677 0.000513864 0.00000 0.00000 0.0193764 0.000277992 0.00119073 1.35206e-05 5.92000 1.64638 8.48390 2.91646 3.80776 5.79452 0.579452 0.994110 NaN
40251 5.00000 3.00000 7.25476 1.89281 7.23152e+19 2.19735e+19 1.35807e+07 2.18183e+06 10.0150 0.314855 2.57770 0.0297497 128.745 3.55409e+19 1.06623e+19 0.229311 0.114747 0.00000 0.00000 0.0136631 0.00439359 0.00163702 0.000449150 0.00000 0.00000 0.0216147 0.000339160 0.00119070 2.00897e-05 9.05392 3.39530 10.6941 3.94549 3.74013 5.63277 0.563277 0.994110 NaN
40251 4.50000 3.00000 8.35724 1.76139 6.88577e+19 3.20401e+19 1.68083e+07 7.35225e+06 11.2502 0.326043 2.42110 0.161848 134.121 3.48570e+19 1.04571e+19 0.246184 0.145838 0.00000 0.00000 0.0172135 0.00569934 0.00157200 0.000430466 0.00000 0.00000 0.0223370 0.000224206 0.00118637 1.55561e-05 11.1759 3.39441 12.9516 3.21381 3.68182 6.00497 0.600497 0.989303 0.0897825
40248 4.70000 3.00000 6.43671 0.819873 7.34566e+19 1.70055e+19 1.25544e+07 2.11896e+06 8.51682 0.278140 2.02790 0.0375297 121.957 3.29936e+19 9.89809e+18 0.235010 0.0939506 0.00000 0.00000 0.0140869 0.00385164 0.00243764 0.000669316 0.00000 0.00000 0.0360852 0.000283325 0.00213948 9.58889e-06 8.40172 1.63186 11.6213 2.32322 3.81546 6.17843 0.617843 0.941708 NaN
40249 5.40000 3.00000 3.50030 0.432419 6.77959e+19 5.88276e+18 5.21031e+06 526048. 6.19190 0.310199 1.43738 0.237435 115.756 2.96547e+19 8.89640e+18 0.138262 0.0464344 0.00000 0.00000 0.0153025 0.00484509 0.00200112 0.000551062 0.00000 0.00000 0.0455895 0.000369441 0.00185356 9.82739e-06 3.69670 1.16048 3.34047 2.67344 4.00465 5.00876 0.500876 0.981947 0.0204887
41033 5.30000 3.00000 4.06572 2.22447 7.84016e+19 1.73463e+19 7.36628e+06 3.51833e+06 7.10872 -0.122389 2.42642 0.126214 113.927 3.48807e+19 1.04642e+19 0.160428 0.106210 0.00000 0.00000 0.00854602 0.00200097 0.000924292 0.000252947 0.00000 0.00000 0.0319591 0.000226751 0.00151498 1.22275e-05 1.81282 1.33306 2.81422 2.03586 3.91278 5.14737 0.514737 0.918447 0.0409695
39050 4.80000 3.00000 4.28213 0.199950 1.02089e+20 1.23341e+19 9.77202e+06 1.38885e+06 6.47102 0.190411 1.58364 0.00970865 109.453 3.05590e+19 9.16771e+18 0.261397 0.0854162 0.00000 0.00000 0.0288290 0.00646307 0.000712092 0.000195460 0.00000 0.00000 0.0474693 0.000110817 0.000661846 0.000268601 3.73700 0.750872 16.4141 1.64141 3.93572 5.44157 0.544157 0.951512 0.0139489
40248 4.00000 3.00000 3.20288 1.59079 5.77601e+19 8.01662e+18 4.23486e+06 3.00999e+06 6.08006 0.238755 1.82583 0.0325014 107.595 3.19373e+19 9.58119e+18 0.107674 0.0642397 0.00000 0.00000 0.00694302 0.00222680 0.00127294 0.000350478 0.00000 0.00000 0.0381683 0.000264060 0.00212805 0.000648944 -2.99668 1.24077 -3.67383 1.77966 4.01427 4.71108 0.471108 0.941708 NaN
40250 5.30000 3.00000 3.56401 0.511165 6.78989e+19 4.92431e+18 4.86040e+06 804659. 6.78645 0.553114 2.21969 0.128991 112.544 3.39310e+19 1.01793e+19 0.126740 0.0431343 0.00000 0.00000 0.00643131 0.00192212 0.000779762 0.000213467 0.00000 0.00000 0.0340055 0.000274917 0.00134604 6.07853e-06 -0.134120 1.33323 0.455600 2.24346 3.95228 5.14958 0.514958 0.912227 0.0156856
40250 7.30000 3.00000 2.05900 0.466382 2.81705e+19 1.38713e+18 1.82628e+06 207693. 6.45911 0.289809 1.98997 0.0689175 111.245 3.28011e+19 9.84033e+18 0.0317915 0.0120528 0.00000 0.00000 0.0205909 0.00675379 0.000907454 0.000251361 0.00000 0.00000 0.0478167 0.000272628 0.00134520 8.19282e-06 -6.69201 0.825513 1.80566 0.180566 3.99358 5.56546 0.556546 0.809503 0.0156912
40249 6.00000 3.00000 2.06787 0.288181 3.48673e+19 2.10248e+18 2.76690e+06 2.11175e+06 5.82594 0.248566 1.43220 0.0229007 106.670 2.96215e+19 8.88646e+18 0.0456373 0.0153451 0.00000 0.00000 0.0188245 0.00652087 0.00154042 0.000429788 0.00000 0.00000 0.0694412 0.000335625 0.00185490 1.04963e-05 -3.57505 0.573810 -3.52416 1.66808 4.04713 5.96805 0.596805 0.914786 0.0141592
41033 6.00000 3.00000 1.50597 0.349055 2.40604e+19 3.87452e+18 5.49083e+06 1.19608e+07 5.84592 0.444085 1.90404 0.0165503 106.426 3.23553e+19 9.70659e+18 0.0210453 0.00866835 0.00000 0.00000 0.0184225 0.00596487 0.000769299 0.000212269 0.00000 0.00000 0.0493845 0.000227768 0.00154781 9.51533e-06 -5.24514 0.944556 -6.06865 1.79693 4.02635 6.62134 0.662134 0.845306 0.0163707
39520 6.00000 3.00000 3.11729 1.22629 4.17719e+19 2.36359e+18 6.53289e+06 2.19149e+06 6.00948 0.235709 1.81888 0.00825182 106.578 3.18996e+19 9.56988e+18 0.0766018 0.0381437 0.00000 0.00000 0.00933636 0.00212248 0.000438558 0.000120347 0.00000 0.00000 0.0329717 0.000250205 0.000949566 0.000113744 2.04883 0.791571 13.2790 1.32790 3.97837 5.00587 0.500587 0.946948 0.0120515
41031 5.00000 4.00000 7.69226 1.56095 6.37708e+19 1.89053e+19 1.30314e+07 1.93166e+06 7.16889 0.221621 2.08955 0.0511996 114.567 3.33014e+19 9.99042e+18 0.257148 0.120357 0.00000 0.00000 0.00860047 0.00217882 0.00000 0.00000 0.00000 0.00000 0.0209602 0.000170382 0.00000 0.00000 2.15574 1.57303 2.73405 1.86393 3.90528 6.51830 0.651830 0.802419 0.0295823
39057 5.10000 4.00000 6.29912 1.69589 9.61836e+19 2.31753e+19 1.43198e+07 6.21316e+06 8.07025 0.149215 1.79292 0.0196564 118.633 3.17578e+19 9.52733e+18 0.321629 0.151042 0.00000 0.00000 0.0281284 0.00606637 0.00000 0.00000 0.00000 0.00000 0.0502714 0.00207795 0.00000 0.00000 5.59241 1.22366 5.79876 1.97321 3.81704 4.66317 0.466317 0.945001 0.0206213
39499 4.80000 4.00000 4.46998 2.10982 4.16285e+19 1.14391e+19 1.50699e+07 1.35170e+07 7.59018 0.0394201 2.31863 0.0133217 116.057 3.43928e+19 1.03178e+19 0.0932368 0.0580986 0.00000 0.00000 0.00714902 0.00169981 0.00000 0.00000 0.00000 0.00000 0.0362842 0.000258286 0.00000 0.00000 6.03596 1.61140 6.74203 3.03738 3.84743 3.51369 0.351369 0.916269 0.0298928
39637 4.50000 4.00000 2.23243 0.629159 3.94311e+19 3.71385e+18 2.41507e+06 755714. 6.36716 0.101267 0.625312 0.0128771 108.470 2.29106e+19 6.87317e+18 0.0708435 0.0299139 0.00000 0.00000 0.174493 0.000577755 0.00000 0.00000 0.00000 0.00000 0.174493 0.000577755 0.00000 0.00000 4.09827 1.19481 3.92240 2.16662 3.94558 6.01132 0.601132 1.07582 0.0212404
